"ID","DESCRIPTION","REACTION","GPR","REVERSIBLE","LOWER.BOUND","UPPER.BOUND","OBJECTIVE"
"1a_24_25VITD3Hm","1-alpha-Vitamin D-24,25-hydroxylase (D3)","h[m] + nadph[m] + o2[m] + 2425dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ","",0,0,1000,0
"1a_25VITD2Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D2)","h[m] + nadph[m] + o2[m] + 1a25dhvitd2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ","",0,0,1000,0
"1a_25VITD3Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D3)","h[m] + nadph[m] + o2[m] + 1a25dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ","",0,0,1000,0
"1MNCAMti","N1-Methylnicotinamide transport","h2o[c] + 1mncam[c] + atp[c]  => 1mncam[e] + adp[c] + h[c] + pi[c] ","",0,0,1000,0
"1PPDCRp","delta1-piperideine-2-carboxylate reductase, perixosomal","1pipdn2c[x] + h[x] + nadh[x]  => Lpipecol[x] + nad[x] ","",0,0,1000,0
"24_25DHVITD2t","24,25-Dihydroxyvitamin D2 transport from cytoplasm","2425dhvitd2[c]  => 2425dhvitd2[e] ","",0,0,1000,0
"24_25DHVITD2tm","24,25-Dihydroxyvitamin D2 transport from mitochondria","2425dhvitd2[m]  => 2425dhvitd2[c] ","",0,0,1000,0
"24_25DHVITD3t","24,25-Dihydroxyvitamin D3 transport from cytoplasm","2425dhvitd3[c]  => 2425dhvitd3[e] ","",0,0,1000,0
"24_25DHVITD3tm","24,25-Dihydroxyvitamin D3 transport from mitochondria","2425dhvitd3[m]  => 2425dhvitd3[c] ","",0,0,1000,0
"24_25VITD2Hm","24R-Vitamin D-25-hydroxylase (D2)","h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => 2425dhvitd2[m] + h2o[m] + nadp[m] ","(1591.1)",0,0,1000,0
"24_25VITD3Hm","24R-Vitamin D-25-hydroxylase (D3)","h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 2425dhvitd3[m] ","(1591.1)",0,0,1000,0
"24NPHte","xenobiotic transport","24nph[e]  <=> 24nph[c] ","",1,-1000,1000,0
"25HVITD2t","25-hydroxyvitamin D2 transport from cytoplasm","25hvitd2[c]  => 25hvitd2[e] ","",0,0,1000,0
"25HVITD2tin","25-hydroxyvitamin D2 transport in cytoplasm","25hvitd2[e]  => 25hvitd2[c] ","",0,0,1000,0
"25HVITD2tin_m","25-hydroxyvitamin D2 transport in mitochondria","25hvitd2[c]  => 25hvitd2[m] ","",0,0,1000,0
"25HVITD2tm","25-hydroxyvitamin D2 transport from mitochondria","25hvitd2[m]  => 25hvitd2[c] ","",0,0,1000,0
"25HVITD3t","25-hydroxyvitamin D3 transport from cytoplasm","25hvitd3[c]  => 25hvitd3[e] ","",0,0,1000,0
"25HVITD3tin","25-hydroxyvitamin D3 transport in cytoplasm","25hvitd3[e]  => 25hvitd3[c] ","(2638.1) and (4036.1) and (8029.1)",0,0,1000,0
"25HVITD3tin_m","25-hydroxyvitamin D3 transport in mitochondria","25hvitd3[c]  => 25hvitd3[m] ","",0,0,1000,0
"25HVITD3tm","25-hydroxyvitamin D3 transport from mitochondria","25hvitd3[m]  => 25hvitd3[c] ","",0,0,1000,0
"25VITD2Hm","1-alpha-Vitamin D-25-hydroxylase (D2)","h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => h2o[m] + nadp[m] + 1a25dhvitd2[m] ","(1594.1)",0,0,1000,0
"25VITD3Hm","1-alpha-Vitamin D-25-hydroxylase (D3)","h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 1a25dhvitd3[m] ","(1594.1)",0,0,1000,0
"2AMACHYD","2-Aminoacrylate hydrolysis","h2o[c] + 2amac[c]  => nh4[c] + pyr[c] ","(10993.1)",0,0,1000,0
"2AMACSULT","2-Aminoacrylate sulfotransferase","2amac[c] + nadph[c] + paps[c]  => Lcyst[c] + nadp[c] + pap[c] ","(6818.1) ",0,0,1000,0
"2AMADPTm","L-2-aminoadipate shuttle (cytosol/mitochondria)","L2aadp[c] + akg[m]  => L2aadp[m] + akg[c] ","(89874.1)",0,0,1000,0
"2DR1PP","2-deoxy-D-ribose 1-phosphate phosphorylase","h2o[c] + 2dr1p[c]  => pi[c] + drib[c] ","",0,0,1000,0
"2HBO","2-Hydroxybutyrate:NAD+ oxidoreductase","2hb[c] + nad[c]  <=> h[c] + 2obut[c] + nadh[c] ","(92483.1) or (3948.2) or (55293.1) or (3945.1 and 3939.1) or (3939.1) or (160287.1) or (3945.1) or (3948.1)",1,-1000,1000,0
"2HBt2","2-hydroxybutyrate cotransport with proton","2hb[e] + h[e]  <=> h[c] + 2hb[c] ","(9123.1) or (9194.1) or (6566.1)",1,-1000,1000,0
"2HCO3_NAt","bicarbonate transport (Na/HCO3 1:2 cotransport)","2 hco3[e] + na1[e]  <=> 2 hco3[c] + na1[c] ","(57835.3) or (8671.1) or (57835.2) or (57835.1) or (57835.4)",1,-1000,1000,0
"2MCITt","2-methylcitrate transport via diffusion","2mcit[c]  <=> 2mcit[e] ","",1,-1000,1000,0
"2OXOADOXm","2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)","2oxoadp[m] + coa[m] + nad[m]  => co2[m] + glutcoa[m] + nadh[m] ","(4967.1) and (1738.1 and 8050.1) and (1743.1) or (4967.2) and (1738.1 and 8050.1) and (1743.1)",0,0,1000,0
"2OXOADPTm","2-oxoadipate shuttle (cytosol/mitochondria)","akg[m] + 2oxoadp[c]  <=> akg[c] + 2oxoadp[m] ","89874.1",1,-1000,1000,0
"34DHOXPEGOX","3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","h[c] + nadh[c] + 34dhmald[c]  <=> nad[c] + 34dhoxpeg[c] ","(130.1) or (127.1) or (125.1 and 124.1) or (131.1) or (126.1 and 124.1) or (128.1) or (137872.1) or (125.1 and 126.1)",1,-1000,1000,0
"34DHOXPEGt","3,4-Dihydroxyphenylethyleneglycol transport (diffusion)","34dhoxpeg[c]  <=> 34dhoxpeg[e] ","",1,-1000,1000,0
"34DHPHAMT","3,4-Dihydroxyphenylacetate:amet O-methyltransferase","34dhpha[c] + amet[c]  => h[c] + ahcys[c] + homoval[c] ","(1312.1) or (1312.2)",0,0,1000,0
"34DHPHEt","3,4-Dihydroxy-L-phenylalanine transport","34dhphe[e]  <=> 34dhphe[c] ","(117247.1)",1,-1000,1000,0
"34DHPLACOX","3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","h2o[c] + nad[c] + 34dhpac[c]  => 2 h[c] + nadh[c] + 34dhpha[c] ","(218.1) or (222.1) or (220.1) or (221.1)",0,0,1000,0
"34DHPLACOX_NADP_","3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","h2o[c] + nadp[c] + 34dhpac[c]  <=> 2 h[c] + nadph[c] + 34dhpha[c] ","(222.1) or (221.1) or (218.1)",1,-1000,1000,0
"34DHXMANDACOX","3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","h2o[c] + nad[c] + 34dhmald[c]  => 2 h[c] + nadh[c] + 34dhoxmand[c] ","(221.1) or (218.1) or (220.1)",0,0,1000,0
"34DHXMANDACOX_NADP_","3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","h2o[c] + nadp[c] + 34dhmald[c]  <=> 2 h[c] + nadph[c] + 34dhoxmand[c] ","(221.1) or (222.1)",1,-1000,1000,0
"34HPLFM","3-(4-hydroxyphenyl-)lactate formation","h[m] + nadh[m] + 34hpp[m]  => nad[m] + 34hpl[m] ","",0,0,1000,0
"34HPPOR","4-Hydroxyphenylpyruvate:oxygen oxidoreductase","o2[c] + 34hpp[c]  => co2[c] + hgentis[c] ","3242.1",0,0,1000,0
"35CGMPtn","35cGMP nuclear transport","35cgmp[c]  <=> 35cgmp[n] ","",1,-1000,1000,0
"3AIBt","3-amino-isobutyrate transport","3aib[c]  => 3aib[e] ","",0,0,1000,0
"3AIBTm","L-3-aminoisobutyrate transaminase, mitochondrial","2mop[m] + glu_L[m]  <=> akg[m] + 3aib[m] ","(18.1) or (18.2)",1,-1000,1000,0
"3AIBtm","3-amino-isobutyrate transport, mitochondrial","3aib[m]  => 3aib[c] ","(18.1) or (18.2)",0,0,1000,0
"3DPHBH1","Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)","h[m] + o2[m] + nadh[m] + 3dphb[m]  => h2o[m] + nad[m] + 3dpdhb[m] ","",0,0,1000,0
"3DPHBH2","Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)","h[m] + nadph[m] + o2[m] + 3dphb[m]  => h2o[m] + nadp[m] + 3dpdhb[m] ","",0,0,1000,0
"3DSPHR","3-Dehydrosphinganine reductase","h[c] + nadph[c] + 3dsphgn[c]  => nadp[c] + sphgn[c] ","2531.1",0,0,1000,0
"3HAO","3-hydroxyanthranilate 3,4-dioxygenase","o2[c] + 3hanthrn[c]  => h[c] + cmusa[c] ","23498.1",0,0,1000,0
"3HBCDm","3-hydroxybutyryl-CoA dehydratase, mitochondrial","h2o[m] + b2coa[m]  <=> 3hbcoa_R[m] ","(55268.1)",1,-1000,1000,0
"3HBCOAHLm","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","h2o[m] + 3hibutcoa[m]  => h[m] + coa[m] + 3hmp[m] ","",0,0,1000,0
"3HKYNAKGAT","3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase","akg[c] + hLkynr[c]  => 42A3HP24DB[c] + glu_L[c] ","(51166.1) or (883.1) or (51166.2)",0,0,1000,0
"3HLYTCL","3-Hydroxy-L-tyrosine carboxy-lyase","h[c] + 34dhphe[c]  => co2[c] + dopa[c] ","(1644.1)",0,0,1000,0
"3HPCOAHYD","3-hydroxyisobutyryl-Coenzyme A hydrolase","h2o[c] + 3hpcoa[c]  => h[c] + 3hpp[c] + coa[c] ","(26275.1) or (26275.2)",0,0,1000,0
"3HPPD","3-hydroxypropionate dehydrogenase","nad[c] + 3hpp[c]  <=> h[c] + nadh[c] + msa[c] ","",1,-1000,1000,0
"3HXKYNDCL","3-Hydroxykynurenamine decarboxy-lyase","h[c] + hLkynr[c]  => co2[c] + 3hxkynam[c] ","(1644.1)",0,0,1000,0
"3HXKYNOXDA","3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)","o2[c] + 3hxkynam[c]  => h2o2[c] + nh4[c] + 48dhoxquin[c] ","(4128.1) or (4129.1)",0,0,1000,0
"3M4HDXPAC","3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase","h2o[c] + nad[c] + 3mox4hpac[c]  <=> 2 h[c] + nadh[c] + homoval[c] ","(218.1) or (221.1) or (222.1) or (220.1)",1,-1000,1000,0
"3MLDAt","3MLDA extracellular transport via diffusion","3mlda[c]  <=> 3mlda[e] ","",1,-1000,1000,0
"3MOBt2im","3-methyl-2-oxobutanoate mitochondrial transport via proton symport","h[c] + 3mob[c]  => h[m] + 3mob[m] ","",0,0,1000,0
"3MOPt2im","3-Methyl-2-oxopentanoate mitochondrial transport via proton symport","h[c] + 3mop[c]  => h[m] + 3mop[m] ","",0,0,1000,0
"3MOX4HOXPGALDOX","3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase","h2o[c] + nad[c] + 3m4hpga[c]  => 2 h[c] + nadh[c] + 3mox4hoxm[c] ","(222.1) or (220.1) or (221.1) or (218.1)",0,0,1000,0
"3MOX4HOXPGALDOX_NADP_","3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase","h2o[c] + nadp[c] + 3m4hpga[c]  <=> 2 h[c] + nadph[c] + 3mox4hoxm[c] ","(222.1) or (220.1) or (221.1) or (218.1)",1,-1000,1000,0
"3MOXTYROX","3-Methoxytyramine:oxygen oxidoreductase (deaminating)","h2o[c] + o2[c] + 3moxtyr[c]  => h2o2[c] + nh4[c] + 3mox4hpac[c] ","(4128.1) or (4129.1)",0,0,1000,0
"3NTD7l","3'-nucleotidase (AMP), lysosome","3amp[l] + h2o[l]  => adn[l] + pi[l] ","(53.1) or (55.1) or (51205.1) or (54.1)",0,0,1000,0
"3SALAASPm","cysteinesulfinate-aspartate mitochondrial shuttle","3sala[m] + asp_L[c]  <=> 3sala[c] + asp_L[m] ","(10165.1) or (8604.1)",1,-1000,1000,0
"3SALACBOXL","3-Sulfino-L-alanine carboxy-lyase","2 h[c] + 3sala[c]  => co2[c] + hyptaur[c] ","(51380.1) or (2571.1) or (2572.1) or (2571.2)",0,0,1000,0
"3SALAOX","cysteinesulfinic acid oxidase","o2[c] + 2 h[c] + 2 3sala[c]  => 2 Lcyst[c] ","",0,0,1000,0
"3SALATAi","3-sulfino-alanine transaminase (irreversible)","h[c] + akg[c] + 3sala[c]  => glu_L[c] + 3snpyr[c] ","(2805.1)",0,0,1000,0
"3SALATAim","3-sulfino-alanine transaminase (irreversible), mitochondrial","h[m] + akg[m] + 3sala[m]  => glu_L[m] + 3snpyr[m] ","(2806.1)",0,0,1000,0
"3SPYRSP","3-sulfinopyruvate hydrolase (spotaneous reaction)","h2o[c] + 3snpyr[c]  => h[c] + pyr[c] + so3[c] ","",0,0,1000,0
"3SPYRSPm","3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial","h2o[m] + 3snpyr[m]  => h[m] + pyr[m] + so3[m] ","",0,0,1000,0
"41R1H2MAE12BOOX","4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","h2o[c] + o2[c] + adrnl[c]  => h2o2[c] + 34dhmald[c] + mma[c] ","(4128.1) or (4129.1)",0,0,1000,0
"41R2A1H12BOOX","4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","h2o[c] + o2[c] + nrpphr[c]  => h2o2[c] + nh4[c] + 34dhmald[c] ","(4128.1) or (4129.1)",0,0,1000,0
"42A12BOOX","4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","h2o[c] + o2[c] + dopa[c]  => h2o2[c] + nh4[c] + 34dhpac[c] ","(4129.1) or (8639.1) or (26.1) or (314.2) or (314.1) or (4128.1)",0,0,1000,0
"4ABUTtm","4-aminobutanoate mitochondrial transport via diffusion","4abut[c]  <=> 4abut[m] ","",1,-1000,1000,0
"4HBZCOAFm","4-hydroxybenzoyl-CoA formation","h2o[m] + coa[m] + nad[m] + coucoa[m]  => h[m] + nadh[m] + 4hbzcoa[m] + accoa[m] ","",0,0,1000,0
"4HBZFm","4-hydroxybenzoate formation","h2o[m] + 4hbzcoa[m]  => h[m] + coa[m] + 4hbz[m] ","",0,0,1000,0
"4HDEBRISOQUINEte","xenobiotic transport","4hdebrisoquine[e]  <=> 4hdebrisoquine[c] ","",1,-1000,1000,0
"4HGLSDm","L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial","h2o[m] + nad[m] + 4hglusa[m]  => 2 h[m] + nadh[m] + e4hglu[m] ","(8659.1) or (8659.2)",0,0,1000,0
"4HOXPACDOX_NADP_","4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase","h2o[c] + nadp[c] + 4hoxpacd[c]  <=> 2 h[c] + nadph[c] + 4hphac[c] ","(222.1) or (220.1) or (221.1) or (218.1)",1,-1000,1000,0
"4MOPt2im","4-methyl-2-oxopentanoate mitochondrial transport  via proton symport","h[c] + 4mop[c]  => h[m] + 4mop[m] ","",0,0,1000,0
"4MPTNLte","4-methylpentanal transport","4mptnl[c]  <=> 4mptnl[e] ","",1,-1000,1000,0
"4MPTNLtm","4-methylpentanal transport (mitochondria)","4mptnl[c]  <=> 4mptnl[m] ","",1,-1000,1000,0
"4MPTNLtr","4-methylpentanal transport (ER)","4mptnl[c]  <=> 4mptnl[r] ","",1,-1000,1000,0
"4MTOLBUTAMIDEte","xenobiotic transport","4mtolbutamide[e]  <=> 4mtolbutamide[c] ","",1,-1000,1000,0
"4NPHSFte","xenobiotic transport","4nphsf[e]  <=> 4nphsf[c] ","",1,-1000,1000,0
"4NPHSULT","4-Nitrophenol Sulfotransferase","paps[c] + 4nph[c]  => h[c] + pap[c] + 4nphsf[c] ","(6799.1) or (6817.3) or (6799.2) or (6818.2) or (6817.2) or (6818.1) or (6817.1) or (6817.4) or (6818.3) or (6817.5)",0,0,1000,0
"4NPHte","xenobiotic transport","4nph[e]  <=> 4nph[c] ","",1,-1000,1000,0
"4PYRDX","4-Pyridoxal secretion","h2o[c] + atp[c] + 4pyrdx[c]  => adp[c] + h[c] + pi[c] + 4pyrdx[e] ","",0,0,1000,0
"5ADTSTSTERONEGLCte","glucuronidated compound transport","h2o[c] + atp[c] + 5adtststeroneglc[c]  => adp[c] + h[c] + pi[c] + 5adtststeroneglc[e] ","(4363.1)",0,0,1000,0
"5ADTSTSTERONEGLCtr","glucuronidated compound transport","5adtststeroneglc[c]  <=> 5adtststeroneglc[r] ","",1,-1000,1000,0
"5ADTSTSTERONESte","sulfonated testosterone transport","5adtststerones[c]  <=> 5adtststerones[e] ","",1,-1000,1000,0
"5ADTSTSTERONESULT","5alpha-Dihydrotestosterone sulfotransferase","paps[c] + 5adtststerone[c]  => h[c] + pap[c] + 5adtststerones[c] ","(6822.1) or (6818.1)",0,0,1000,0
"5ADTSTSTERONEte","5 alpha dihydrotesterone transport","5adtststerone[e]  <=> 5adtststerone[c] ","",1,-1000,1000,0
"5ADTSTSTERONEtr","5 alpha dihydrotesterone intracellular transport","5adtststerone[r]  <=> 5adtststerone[c] ","",1,-1000,1000,0
"5AOPtm","5-Aminolevulinate mitochondrial transport","5aop[c]  <=> 5aop[m] ","",1,-1000,1000,0
"5DHFtl","5-glutamyl-DHF transport, lysosomal","5dhf[c]  => 5dhf[l] ","",0,0,1000,0
"5FTHFt2","5-formyltetrahydrofolate transport via anion exchange","h2o[c] + 5fthf[e]  <=> 5fthf[c] + h2o[e] ","(6573.1) or (6573.2)",1,-1000,1000,0
"5HLTDL","5-Hydroxy-L-tryptophan decarboxy-lyase","h[c] + 5htrp[c]  => co2[c] + srtn[c] ","(1644.1)",0,0,1000,0
"5HOMEPRAZOLEte","xenobiotic transport","5homeprazole[e]  <=> 5homeprazole[c] ","",1,-1000,1000,0
"5HOXINDACTO2OX","5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase","h2o[c] + o2[c] + 5hoxindact[c]  => h2o2[c] + h[c] + 5hoxindoa[c] ","(316.1)",0,0,1000,0
"5HOXINDACTOXm","5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)","h2o[m] + nad[m] + 5hoxindact[m]  => 2 h[m] + nadh[m] + 5hoxindoa[m] ","(8659.2) or (219.1) or (8659.1) or (217.1)",0,0,1000,0
"5HOXINOXDA","5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)","h2o[c] + o2[c] + srtn[c]  => h2o2[c] + nh4[c] + 5hoxindact[c] ","(4128.1) or (4129.1)",0,0,1000,0
"5HTRPDOX","5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)","o2[c] + 5htrp[c]  => 5hoxnfkyn[c] ","(3620.1)",0,0,1000,0
"5HTRPVESSEC","5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)","h2o[c] + atp[c] + 5htrp[c]  => adp[c] + h[c] + pi[c] + 5htrp[e] ","(6570.1) or (6571.1)",0,0,1000,0
"5HXKYNDCL","5-Hydroxykynurenamine decarboxy-lyase","h[c] + 5hxkyn[c]  => co2[c] + 5hxkynam[c] ","(1644.1)",0,0,1000,0
"5HXKYNOXDA","5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)","o2[c] + 5hxkynam[c]  => h2o2[c] + nh4[c] + 46dhoxquin[c] ","(4128.1) or (4129.1)",0,0,1000,0
"5MTHFt","5-Methyltetrahydrofolate transport via receptor binding and protolysis","5mthf[e]  <=> 5mthf[c] ","(2348.5) or (2348.3) or (2348.1) or (2348.6) or (2352.1) or (2348.4) or (2348.2)",1,-1000,1000,0
"5MTHFt2","5-methyltetrahydrofolate transport via anion exchange","h2o[c] + 5mthf[e]  <=> h2o[e] + 5mthf[c] ","(6573.1) or (6573.2)",1,-1000,1000,0
"5THFtl","5-glutamyl-THF transport, lysosomal","5thf[c]  => 5thf[l] ","",0,0,1000,0
"5THFtm","5-glutamyl-THF transport,m mitochondrial","5thf[m]  => 5thf[c] ","",0,0,1000,0
"6DHFtl","6-glutamyl-DHF transport, lysosomal","6dhf[c]  => 6dhf[l] ","",0,0,1000,0
"6DHFtm","6-glutamyl-DHF transport,m mitochondrial","6dhf[m]  => 6dhf[c] ","",0,0,1000,0
"6HTSTSTERONEte","hydroxylated testosterone transport","6htststerone[c]  <=> 6htststerone[e] ","",1,-1000,1000,0
"6HTSTSTERONEtr","hydroxylated testosterone transport","6htststerone[c]  <=> 6htststerone[r] ","",1,-1000,1000,0
"6THFtl","6-glutamyl-THF transport, lysosomal","6thf[c]  => 6thf[l] ","",0,0,1000,0
"6THFtm","6-glutamyl-THF transport,m mitochondrial","6thf[m]  => 6thf[c] ","",0,0,1000,0
"7DHCHSTEROLtr","cholesterol precursor intracellular transport","7dhchsterol[r]  <=> 7dhchsterol[c] ","",1,-1000,1000,0
"7DHFtl","7-glutamyl-DHF transport, lysosomal","7dhf[c]  => 7dhf[l] ","",0,0,1000,0
"7DHFtm","7-glutamyl-DHF transport,m mitochondrial","7dhf[m]  => 7dhf[c] ","",0,0,1000,0
"7THFtl","7-glutamyl-THF transport, lysosomal","7thf[c]  => 7thf[l] ","",0,0,1000,0
"7THFtm","7-glutamyl-THF transport,m mitochondrial","7thf[m]  => 7thf[c] ","",0,0,1000,0
"A_MANASE","alpha-mannosidase","2 h2o[c] + m2mn[c]  => 2 man[c] + mn[c] ","(4123.1)",0,0,1000,0
"A_MANASEly","alpha-mannosidase, lysosomal","2 h2o[l] + m2mn[l]  => 2 man[l] + mn[l] ","(4125.1)",0,0,1000,0
"A4GALTc","Lactosylceramide 4-alpha-galactosyltransferase","galgluside_hs[c] + udpgal[c]  => h[c] + thcrm_hs[c] + udp[c] ","(53947.1)",0,0,1000,0
"A4GALTg","Lactosylceramide 4-alpha-galactosyltransferase","galgluside_hs[g] + udpgal[g]  => h[g] + thcrm_hs[g] + udp[g] ","(53947.1)",0,0,1000,0
"A4GNT1g","alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus","T_antigen[g] + uacgam[g]  => h[g] + udp[g] + gncore1[g] ","(51146.1)",0,0,1000,0
"A4GNT2g","alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus","uacgam[g] + core2[g]  => h[g] + udp[g] + gncore2[g] ","(51146.1)",0,0,1000,0
"AACOAT","Acetoacetyl-CoA:acetate CoA-transferase","atp[c] + coa[c] + acac[c]  => aacoa[c] + amp[c] + ppi[c] ","65985.1",0,0,1000,0
"AACTOOR","Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)","h2o[c] + o2[c] + aact[c]  => h2o2[c] + nh4[c] + mthgxl[c] ","(8639.1)",0,0,1000,0
"AACTtm","Aminoacetone transport (mitochondrial)","aact[m]  => aact[c] ","",0,0,1000,0
"AASAD3m","L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial","h2o[m] + nad[m] + L2aadp6sa[m]  => 2 h[m] + L2aadp[m] + nadh[m] ","",0,0,1000,0
"AATAi","2-aminoadipate transaminase, irreversible","L2aadp[c] + akg[c]  <=> 2oxoadp[c] + glu_L[c] ","(51166.1) or (51166.2)",1,-1000,1000,0
"ABO1g","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","fucgalacglcgalgluside_hs[g] + udpacgal[g]  => h[g] + udp[g] + acgalfucgalacglcgalgluside_hs[g] ","(28.1)",0,0,1000,0
"ABO2g","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","udpgal[g] + fucgalacglcgalgluside_hs[g]  => h[g] + udp[g] + galfucgalacglcgalgluside_hs[g] ","(28.1)",0,0,1000,0
"ABO3g","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","udpgal[g] + fuc12gal14acglcgalgluside_hs[g]  => h[g] + udp[g] + galfuc12gal14acglcgalgluside_hs[g] ","(28.1)",0,0,1000,0
"ABO4g","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","udpacgal[g] + fuc12gal14acglcgalgluside_hs[g]  => h[g] + udp[g] + acgalfuc12gal14acglcgalgluside_hs[g] ","(28.1)",0,0,1000,0
"ABO5g","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","udpacgal[g] + fucgalacgalfuc12gal14acglcgalgluside_hs[g]  => h[g] + udp[g] + acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g] ","(28.1)",0,0,1000,0
