"NAME","DESCRIPTION","FORMULA"
"35cgmp[c]","3',5'-cyclic GMP(1-)","C10H11N5O7P"
"35cgmp[n]","3',5'-cyclic GMP(1-)","C10H11N5O7P"
"3aib[c]","(S)-3-aminoisobutyric acid","C4H9NO2"
"3aib[e]","(S)-3-aminoisobutyric acid","C4H9NO2"
"2mop[m]","2-methyl-3-oxopropanoate","C4H5O3"
"glu_L[m]","L-glutamate(1-)","C5H8NO4"
"3aib[m]","(S)-3-aminoisobutyric acid","C4H9NO2"
"3dphb[m]","3-Decaprenyl-4-hydroxybenzoate","C57H85O3"
"3dpdhb[m]","3-Decaprenyl-4,5-dihdydroxybenzoate","C57H85O4"
"3dsphgn[c]","(2S)-1-hydroxy-3-oxooctadecan-2-aminium","C18H38NO2"
"sphgn[c]","sphinganine(1+)","C18H40NO2"
"3hanthrn[c]","3-hydroxyanthranilate","C7H7NO3"
"cmusa[c]","cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate","C7H6NO5"
"b2coa[m]","crotonoyl-CoA(4-)","C25H36N7O17P3S"
"3hbcoa_R[m]","(R)-3-hydroxybutanoyl-CoA(4-)","C25H38N7O18P3S"
"3hibutcoa[m]","(S)-3-Hydroxyisobutyryl-CoA","C25H38N7O18P3S"
"3hmp[m]","3-hydroxy-2-methylpropanoate","C4H7O3"
"hLkynr[c]","3-hydroxy-L-kynurenine","C10H12N2O4"
"42A3HP24DB[c]","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","C10H8NO5"
"glu_L[c]","L-glutamate(1-)","C5H8NO4"
"dopa[c]","dopaminium(1+)","C8H12NO2"
"3hpcoa[c]","3-hydroxypropanoyl-CoA(4-)","C24H36N7O18P3S"
"3hpp[c]","3-hydroxypropionate","C3H5O3"
"coa[c]","Coenzyme A","C21H32N7O16P3S"
"msa[c]","3-oxopropanoate","C3H3O3"
"3hxkynam[c]","3-Hydroxykynurenamine","C9H13N2O2"
"48dhoxquin[c]","quinoline-4,8-diol","C9H7NO2"
"3mox4hpac[c]","(4-hydroxy-3-methoxyphenyl)acetaldehyde","C9H10O3"
"3mlda[c]","3-Methylimidazoleacetic acid","C6H7N2O2"
"3mlda[e]","3-Methylimidazoleacetic acid","C6H7N2O2"
"3mob[c]","3-methyl-2-oxobutanoate","C5H7O3"
"3mob[m]","3-methyl-2-oxobutanoate","C5H7O3"
"3mop[c]","3-methyl-2-oxopentanoate","C6H9O3"
"3mop[m]","3-methyl-2-oxopentanoate","C6H9O3"
"3m4hpga[c]","3-Methoxy-4-hydroxyphenylglycolaldehyde","C9H10O4"
"3mox4hoxm[c]","3-Methoxy-4-hydroxymandelate","C9H9O5"
"3moxtyr[c]","3-Methoxytyramine","C9H14NO2"
"3amp[l]","3'-AMP(2-)","C10H12N5O7P"
"h2o[l]","Water","H2O"
"adn[l]","Adenosine","C10H13N5O4"
"pi[l]","hydrogenphosphate","HO4P"
"3sala[m]","3-Sulfino-L-alanine","C3H5NO4S"
"asp_L[c]","L-aspartate(1-)","C4H6NO4"
"3sala[c]","3-Sulfino-L-alanine","C3H5NO4S"
"asp_L[m]","L-aspartate(1-)","C4H6NO4"
"hyptaur[c]","Hypotaurine","C2H7NO2S"
"3snpyr[c]","3-Sulfinopyruvate","C3H2O5S"
"3snpyr[m]","3-Sulfinopyruvate","C3H2O5S"
"so3[c]","Sulfite","O3S"
"pyr[m]","pyruvate","C3H3O3"
"so3[m]","Sulfite","O3S"
"adrnl[c]","Adrenaline","C9H14NO3"
"mma[c]","methylammonium","C1H6N"
"nrpphr[c]","Norepinephrine","C8H12NO3"
"4abut[c]","4-Aminobutanoate","C4H9NO2"
"4abut[m]","4-Aminobutanoate","C4H9NO2"
"coucoa[m]","4-coumaroyl-CoA(4-)","C30H38N7O18P3S1"
"4hbzcoa[m]","4-hydroxybenoyl-CoA","C28H36N7O18P3S"
"accoa[m]","Acetyl-CoA","C23H34N7O17P3S"
"4hbz[m]","4-hydroxybenzoate","C7H5O3"
"4hdebrisoquine[e]","4 hydroxy debrisoquine","C10H14N3O"
"4hdebrisoquine[c]","4 hydroxy debrisoquine","C10H14N3O"
"4hglusa[m]","L-4-hydroxyglutamic semialdehyde","C5H9NO4"
"e4hglu[m]","erythro-4-hydroxy-L-glutamate(1-)","C5H8NO5"
"4hoxpacd[c]","(4-hydroxyphenyl)acetaldehyde","C8H8O2"
"4hphac[c]","4-hydroxyphenylacetate","C8H7O3"
"4mop[c]","4-methyl-2-oxopentanoate","C6H9O3"
"4mop[m]","4-methyl-2-oxopentanoate","C6H9O3"
"4mptnl[c]","4-methylpentanal","C6H12O"
"4mptnl[e]","4-methylpentanal","C6H12O"
"4mptnl[m]","4-methylpentanal","C6H12O"
"4mptnl[r]","4-methylpentanal","C6H12O"
"4mtolbutamide[e]","4 hydroxy tolbutamide","C12H18N2O4S"
"4mtolbutamide[c]","4 hydroxy tolbutamide","C12H18N2O4S"
"4nphsf[e]","4-Nitrophenyl sulfate","C6H4NO6S"
"4nphsf[c]","4-Nitrophenyl sulfate","C6H4NO6S"
"4nph[c]","4-nitrophenolate","C6H5NO3"
"4nph[e]","4-nitrophenolate","C6H5NO3"
"4pyrdx[c]","4-pyridoxate","C8H9NO4"
"4pyrdx[e]","4-pyridoxate","C8H9NO4"
"5adtststeroneglc[c]","5alpha-Dihydrotestosterone glucuronide","C25H38O8"
"5adtststeroneglc[e]","5alpha-Dihydrotestosterone glucuronide","C25H38O8"
"5adtststeroneglc[r]","5alpha-Dihydrotestosterone glucuronide","C25H38O8"
"5adtststerones[c]","5alpha-Dihydrotestosterone sulfate","C19H29O5S"
"5adtststerones[e]","5alpha-Dihydrotestosterone sulfate","C19H29O5S"
"5adtststerone[c]","17beta-hydroxy-5alpha-androstan-3-one","C19H30O2"
"5adtststerone[e]","17beta-hydroxy-5alpha-androstan-3-one","C19H30O2"
"5adtststerone[r]","17beta-hydroxy-5alpha-androstan-3-one","C19H30O2"
"5aop[c]","5-Amino-4-oxopentanoate","C5H9NO3"
"5aop[m]","5-Amino-4-oxopentanoate","C5H9NO3"
"5dhf[c]","pentaglutamyl folate (DHF)","C39H43N11O18"
"5dhf[l]","pentaglutamyl folate (DHF)","C39H43N11O18"
"5fthf[e]","5-formyltetrahydrofolate(2-)","C20H21N7O7"
"5fthf[c]","5-formyltetrahydrofolate(2-)","C20H21N7O7"
"h2o[e]","Water","H2O"
"5htrp[c]","5-hydroxy-L-tryptophan","C11H12N2O3"
"srtn[c]","serotonin(1+)","C10H13N2O"
"5homeprazole[e]","5 hydroxy omeprazole","C17H19N3O4S"
"5homeprazole[c]","5 hydroxy omeprazole","C17H19N3O4S"
"5hoxindact[c]","(5-hydroxyindol-3-yl)acetaldehyde","C10H9NO2"
"5hoxindoa[c]","5-Hydroxyindoleacetate","C10H8NO3"
"5hoxindact[m]","(5-hydroxyindol-3-yl)acetaldehyde","C10H9NO2"
"5hoxindoa[m]","5-Hydroxyindoleacetate","C10H8NO3"
"5hoxnfkyn[c]","5-hydroxy-N-formylkynurenine","C11H12N2O5"
"5htrp[e]","5-hydroxy-L-tryptophan","C11H12N2O3"
"5hxkyn[c]","5-hydroxykynurenine","C10H12N2O4"
"5hxkynam[c]","5-Hydroxykynurenamine","C9H13N2O2"
"46dhoxquin[c]","4,6-Dihydroxyquinoline","C9H7NO2"
"5mthf[e]","5-Methyltetrahydrofolate","C20H24N7O6"
"5mthf[c]","5-Methyltetrahydrofolate","C20H24N7O6"
"5thf[c]","pentaglutamyl folate (THF)","C39H45N11O18"
"5thf[l]","pentaglutamyl folate (THF)","C39H45N11O18"
"5thf[m]","pentaglutamyl folate (THF)","C39H45N11O18"
"6dhf[c]","hexaglutamyl folate (DHF)","C44H49N12O21"
"6dhf[l]","hexaglutamyl folate (DHF)","C44H49N12O21"
"6dhf[m]","hexaglutamyl folate (DHF)","C44H49N12O21"
"6htststerone[c]","6 beta hydroxy testosterone","C19H28O3"
"6htststerone[e]","6 beta hydroxy testosterone","C19H28O3"
"6htststerone[r]","6 beta hydroxy testosterone","C19H28O3"
"6thf[c]","hexaglutamyl folate  (THF)","C44H51N12O21"
"6thf[l]","hexaglutamyl folate  (THF)","C44H51N12O21"
"6thf[m]","hexaglutamyl folate  (THF)","C44H51N12O21"
"7dhchsterol[r]","cholesta-5,7-dien-3beta-ol","C27H44O"
"7dhchsterol[c]","cholesta-5,7-dien-3beta-ol","C27H44O"
"7dhf[c]","heptaglutamyl folate (DHF)","C49H55N13O24"
"7dhf[l]","heptaglutamyl folate (DHF)","C49H55N13O24"
"7dhf[m]","heptaglutamyl folate (DHF)","C49H55N13O24"
"7thf[c]","heptaglutamyl folate (THF)","C49H57N13O24"
"7thf[l]","heptaglutamyl folate (THF)","C49H57N13O24"
"7thf[m]","heptaglutamyl folate (THF)","C49H57N13O24"
"m2mn[c]","(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine","C26H45NO21"
"man[c]","D-Mannose","C6H12O6"
"mn[c]","beta-1,4-mannose-N-acetylglucosamine","C14H25NO11"
"m2mn[l]","(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine","C26H45NO21"
"man[l]","D-Mannose","C6H12O6"
"mn[l]","beta-1,4-mannose-N-acetylglucosamine","C14H25NO11"
"galgluside_hs[c]","galactosyl glucosyl ceramide","C30H56NO12FULLRCO"
"udpgal[c]","UDP-D-galactose(2-)","C15H22N2O17P2"
"thcrm_hs[c]","trihexosyl ceramide","C36H66NO17FULLRCO"
"udp[c]","UDP","C9H11N2O12P2"
"galgluside_hs[g]","galactosyl glucosyl ceramide","C30H56NO12FULLRCO"
"udpgal[g]","UDP-D-galactose(2-)","C15H22N2O17P2"
"h[g]","proton","H"
"thcrm_hs[g]","trihexosyl ceramide","C36H66NO17FULLRCO"
"udp[g]","UDP","C9H11N2O12P2"
"T_antigen[g]","T antigen (core 1)","C14H24NO10X"
"uacgam[g]","UDP-N-acetyl-alpha-D-glucosamine(2-)","C17H25N3O17P2"
"gncore1[g]","GlcNAc-alpha-1,4-Core 1","C22H37N2O15X"
"core2[g]","Core 2","C22H37N2O15X"
"gncore2[g]","GlcNAc-alpha-1,4-Core 2","C30H50N3O20X"
"acac[c]","acetoacetate","C4H5O3"
"aacoa[c]","Acetoacetyl-CoA","C25H36N7O18P3S"
"amp[c]","AMP","C10H12N5O7P"
"ppi[c]","Diphosphate","HO7P2"
"aact[c]","ammonioacetone","C3H8NO"
"mthgxl[c]","methylglyoxal","C3H4O2"
"aact[m]","ammonioacetone","C3H8NO"
"L2aadp6sa[m]","L-allysine","C6H11NO3"
"fucgalacglcgalgluside_hs[g]","Type IH glycolipid","C50H89N2O26FULLRCO"
"udpacgal[g]","UDP-N-acetyl-D-galactosamine(2-)","C17H25N3O17P2"
"acgalfucgalacglcgalgluside_hs[g]","Type IA glycolipid","C58H102N3O31FULLRCO"
"galfucgalacglcgalgluside_hs[g]","Type IB glycolipid","C56H99N2O31FULLRCO"
"fuc12gal14acglcgalgluside_hs[g]","Type IIH glycolipid","C50H89N2O26FULLRCO"
"galfuc12gal14acglcgalgluside_hs[g]","(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1","C56H99N2O31FULLRCO"
"acgalfuc12gal14acglcgalgluside_hs[g]","(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1","C58H102N3O31FULLRCO"
"fucgalacgalfuc12gal14acglcgalgluside_hs[g]","Type IIIH glycolipid","C70H122N3O40FULLRCO"
"acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]","Type IIIA glycolipid","C78H135N4O45FULLRCO"
"fucgalacglcgal14acglcgalgluside_hs[g]","VI2Fuc-nLc6","C64H112N3O36FULLRCO"
"acgalfucgalacglcgal14acglcgalgluside_hs[g]","(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1","C72H125N4O41FULLRCO"
"fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]","(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1","C84H145N4O50FULLRCO"
"acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]","Type IIIAb","C92H158N5O55FULLRCO"
"galfucgalacglcgal14acglcgalgluside_hs[g]","(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1","C70H122N3O41FULLRCO"
"fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]","(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1","C84H145N4O50FULLRCO"
"galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]","(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1","C96H165N4O60FULLRCO"
"sucsal[m]","Succinic semialdehyde","C4H5O3"
"abt[c]","L-arabinitol","C5H12O5"
"xylu_L[c]","L-xylulose","C5H10O5"
"abt[e]","L-arabinitol","C5H12O5"
"4abutn[c]","4-Aminobutanal","C4H10NO"
"4abut[e]","4-Aminobutanoate","C4H9NO2"
"4abut[l]","4-Aminobutanoate","C4H9NO2"
"h[l]","proton","H"
"2maacoa[m]","2-methylacetoacetyl-CoA(4-)","C26H38N7O18P3S"
"ppcoa[m]","Propanoyl-CoA","C24H36N7O17P3S"
"accoa[c]","Acetyl-CoA","C23H34N7O17P3S"
"aacoa[m]","Acetoacetyl-CoA","C25H36N7O18P3S"
"accoa[x]","Acetyl-CoA","C23H34N7O17P3S"
"aacoa[x]","Acetoacetyl-CoA","C25H36N7O18P3S"
"coa[x]","Coenzyme A","C21H32N7O16P3S"
"acac[e]","acetoacetate","C4H5O3"
"acac[m]","acetoacetate","C4H5O3"
"3odcoa[x]","3-Oxodecanoyl-CoA","C31H48N7O18P3S"
"occoa[x]","Octanoyl-CoA (n-C8:0CoA)","C29H46N7O17P3S"
"3oddcoa[x]","3-Oxododecanoyl-CoA","C33H52N7O18P3S"
"dcacoa[x]","Decanoyl-CoA (n-C10:0CoA)","C31H50N7O17P3S"
"3otdcoa[x]","3-Oxotetradecanoyl-CoA","C35H56N7O18P3S"
"ddcacoa[x]","Dodecanoyl-CoA (n-C12:0CoA)","C33H54N7O17P3S"
"3ohdcoa[x]","3-oxopalmitoyl-CoA(4-)","C37H60N7O18P3S"
"tdcoa[x]","Tetradecanoyl-CoA (n-C14:0CoA)","C35H58N7O17P3S"
"3ohodcoa[x]","3-Oxooctadecanoyl-CoA","C39H64N7O18P3S"
"pmtcoa[x]","Palmitoyl-CoA (n-C16:0CoA)","C37H62N7O17P3S"
"3ohxccoa[x]","3-Oxohexacosyl-CoA","C47H80N7O18P3S"
"ttccoa[x]","tetracosanoyl-CoA  (n-C24:0CoA)","C45H78N7O17P3S"
"acac[x]","acetoacetate","C4H5O3"
"acald[e]","acetaldehyde","C2H4O"
"acald[c]","acetaldehyde","C2H4O"
"acald[m]","acetaldehyde","C2H4O"
"acald[r]","acetaldehyde","C2H4O"
"acald[x]","acetaldehyde","C2H4O"
"malcoa[c]","Malonyl-CoA","C24H33N7O19P3S"
"atp[m]","ATP","C10H12N5O13P3"
"hco3[m]","Bicarbonate","CHO3"
"adp[m]","ADP","C10H12N5O10P2"
"malcoa[m]","Malonyl-CoA","C24H33N7O19P3S"
"pi[m]","hydrogenphosphate","HO4P"
"accoa[g]","Acetyl-CoA","C23H34N7O17P3S"
"ppa[c]","propionate","C3H5O2"
"ppcoa[c]","Propanoyl-CoA","C24H36N7O17P3S"
"ppa[m]","propionate","C3H5O2"
"amp[m]","AMP","C10H12N5O7P"
"ppi[m]","Diphosphate","HO7P2"
"accoa[n]","Acetyl-CoA","C23H34N7O17P3S"
"accoa[r]","Acetyl-CoA","C23H34N7O17P3S"
"acetone[e]","acetone","C3H6O"
"acetone[c]","acetone","C3H6O"
"acetone[m]","acetone","C3H6O"
"acgagbside_hs[c]","alpha GalNAc globoside","C52H92N3O27FULLRCO"
"acgagbside_hs[g]","alpha GalNAc globoside","C52H92N3O27FULLRCO"
"acgagbside_hs[l]","alpha GalNAc globoside","C52H92N3O27FULLRCO"
"acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e]","Type IIIA glycolipid","C78H135N4O45FULLRCO"
"acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c]","Type IIIA glycolipid","C78H135N4O45FULLRCO"
"acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e]","Type IIIAb","C92H158N5O55FULLRCO"
"acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c]","Type IIIAb","C92H158N5O55FULLRCO"
"acgal[c]","N-acetyl-D-galactosamine","C8H15NO6"
"acgal1p[c]","N-Acetyl-D-galactosamine 1-phosphate","C8H14NO9P"
"itp[c]","ITP(3-)","C10H11N4O14P3"
"idp[c]","IDP(3-)","C10H11N4O11P2"
"acgal[g]","N-acetyl-D-galactosamine","C8H15NO6"
"acgal[l]","N-acetyl-D-galactosamine","C8H15NO6"
"acgam[c]","N-acetyl-D-glucosamine","C8H15NO6"
"acmana[c]","N-acetyl-D-mannosamine","C8H15NO6"
"gam6p[c]","D-Glucosamine 6-phosphate","C6H13NO8P"
"acgam6p[c]","N-acetyl-D-glucosamine 6-phosphate(2-)","C8H14NO9P"
"acgam1p[c]","N-Acetyl-D-glucosamine 1-phosphate","C8H14NO9P"
"acgam[l]","N-acetyl-D-glucosamine","C8H15NO6"
"acgbgbside_hs[c]","beta GalNAc globoside","C52H92N3O27FULLRCO"
"acgbgbside_hs[g]","beta GalNAc globoside","C52H92N3O27FULLRCO"
"acgbgbside_hs[l]","beta GalNAc globoside","C52H92N3O27FULLRCO"
"acgpail_hs[c]","6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-)","C17H29NO14PFULLRCO2FULLR2CO2"
"ac[c]","acetate","C2H3O2"
"gpail_hs[c]","6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol","C15H28NO13PFULLRCO2FULLR2CO2"
"acglu[m]","N-acetyl-L-glutamate(2-)","C7H9NO5"
"ach[e]","acetylcholine","C7H16NO2"
"ac[e]","acetate","C2H3O2"
"chol[e]","Choline","C5H14NO"
"ach[n]","acetylcholine","C7H16NO2"
"ach[c]","acetylcholine","C7H16NO2"
"cit[c]","Citrate","C6H5O7"
"oaa[c]","Oxaloacetate","C4H2O5"
"acn13acngalgbside_hs[c]","sialyl (1,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acn13acngalgbside_hs[e]","sialyl (1,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acn13acngalgbside_hs[g]","sialyl (1,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acn23acngalgbside_hs[c]","sialyl (2,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acn23acngalgbside_hs[e]","sialyl (2,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acn23acngalgbside_hs[g]","sialyl (2,3) sialyl (2,6) galactosylgloboside","C72H121N4O43FULLRCO"
"acnacngal14acglcgalgluside_hs[e]","3',8'-LD1","C66H111N4O38FULLRCO"
"acnacngal14acglcgalgluside_hs[c]","3',8'-LD1","C66H111N4O38FULLRCO"
"acnacngal14acglcgalgluside_hs[g]","3',8'-LD1","C66H111N4O38FULLRCO"
"acnacngalgbside_hs[c]","disialyl galactosylgloboside","C72H121N4O43FULLRCO"
"acnacngalgbside_hs[e]","disialyl galactosylgloboside","C72H121N4O43FULLRCO"
"acnacngalgbside_hs[g]","disialyl galactosylgloboside","C72H121N4O43FULLRCO"
"acmanap[c]","N-acetyl-D-mannosamine 6-phosphate(2-)","C8H14NO9P"
"pep[c]","Phosphoenolpyruvate","C3H2O6P"
"acnamp[c]","N-Acetylneuraminate 9-phosphate","C11H17NO12P"
"man6p[c]","D-Mannose 6-phosphate","C6H11O9P"
"kdnp[c]","2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate","C9H14O12P"
"acnam[c]","N-acetylneuraminate","C11H18NO9"
"acnam[l]","N-acetylneuraminate","C11H18NO9"
"acnam[n]","N-acetylneuraminate","C11H18NO9"
"acngalacglcgal14acglcgalgluside_hs[e]","VI3NeuAc-nLc6Cer","C69H118N4O40FULLRCO"
"acngalacglcgal14acglcgalgluside_hs[c]","VI3NeuAc-nLc6Cer","C69H118N4O40FULLRCO"
"acngalacglcgal14acglcgalgluside_hs[g]","VI3NeuAc-nLc6Cer","C69H118N4O40FULLRCO"
"2mbcoa[m]","2-methylbutanoyl-CoA(4-)","C26H40N7O17P3S"
"fad[m]","Flavin adenine dinucleotide oxidized","C27H31N9O15P2"
"2mb2coa[m]","2-methylcrotonoyl-CoA(4-)","C26H38N7O17P3S"
"fadh2[m]","Flavin adenine dinucleotide reduced","C27H33N9O15P2"
